4.7134 	DATA 	Mouse:  Right button up, pos=(886,429)
5.1152 	DATA 	Mouse: Right button down, pos=(845,426)
5.5840 	DATA 	Mouse:  Right button up, pos=(1266,428)
5.7439 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7445 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7673 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7715 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7871 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.7877 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8037 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8116 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8251 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8421 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.8628 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9045 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9226 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9384 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9753 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
5.9936 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0137 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0213 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0380 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0502 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0668 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0767 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.0978 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1041 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1206 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1376 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1548 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1713 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1755 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1888 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.1924 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2084 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2266 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2471 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2712 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2849 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2895 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.2936 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3085 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3217 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3254 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3584 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3752 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.3881 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4059 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4100 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4289 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4431 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4602 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.4803 	DATA 	Mouse: wheel shift=(0,0), pos=(1309,430)
6.7817 	DATA 	Mouse: Left button down, pos=(1309,430)
7.4747 	DATA 	Mouse:  Left button up, pos=(667,554)
7.6899 	DATA 	Mouse: Right button down, pos=(667,554)
8.2390 	DATA 	Mouse:  Right button up, pos=(538,553)
8.4931 	DATA 	Mouse: wheel shift=(0,0), pos=(538,553)
8.5168 	DATA 	Mouse: Right button down, pos=(538,553)
8.5293 	DATA 	Mouse: wheel shift=(0,0), pos=(538,553)
9.2344 	DATA 	Mouse:  Right button up, pos=(652,532)
9.5011 	DATA 	Mouse: wheel shift=(0,0), pos=(652,532)
9.5020 	DATA 	Mouse: Right button down, pos=(652,532)
9.5056 	DATA 	Mouse: wheel shift=(0,0), pos=(652,532)
9.8327 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
